source,target,weight
LD.Ptepar_usersample,LD.Ptepar1.710963,0.41237596952981531
LD.Ptepar_usersample,LD.NBS1047C.710992,0.53494063610389542
LD.Ptepar_usersample,BD.ERD505.710945,0.53917804511085177
LD.Ptepar_usersample,LD.DTS1224.710958,0.54547276094709052
LD.Ptepar_usersample,LD.DTS1225.710993,0.55157929428865293
LD.Ptepar_usersample,BD.NBS1062.710926,0.55190395222536726
LD.Ptepar_usersample,LD.NBS1062E.710936,0.55382435644281991
LD.Ptepar_usersample,LD.Urobil1.711000,0.55386741209469781
LD.Ptepar_usersample,LD.Perkap1.710954,0.55389098582749929
LD.Ptepar_usersample,BD.ERD503.710979,0.55426039592627119
LD.Ptepar_usersample,LD.NBS1070E.710990,0.55447330588516863
LD.Ptepar_usersample,LD.NBS1049B.710931,0.55489848808144482
LD.Ptepar_usersample,LD.Glosor1.710919,0.55605390634794161
LD.Ptepar_usersample,BD.NBS1076.710971,0.55613134544947529
LD.Ptepar_usersample,LD.NBS1073B.710977,0.55646113342130699
LD.Ptepar_usersample,LD.NBS1076E.711003,0.55654449649196425
LD.Ptepar_usersample,LD.QCAZ.M51303.711012,0.55675244612975816
LD.Ptepar_usersample,LD.NBS1081E.710921,0.55677321055761431
LD.Ptepar_usersample,LD.QCAZ.M51307.710925,0.55695642609752061
LD.Ptepar_usersample,BD.ERD501.710983,0.55767737924705263
LD.Ptepar_usersample,BD.NBS1073.710970,0.57094235595783549
LD.Ptepar_usersample,H17Kc.735879,0.58774965707603544
LD.Ptepar_usersample,LD.NBS1060E.710920,0.59314202804121996
LD.Ptepar_usersample,H61Di.735961,0.61851436718233821
LD.Ptepar_usersample,LD.NBS1055E.710939,0.66889471870899497
LD.Ptepar_usersample,pleural.T3.S5.536570,0.70272209823907639
LD.Ptepar_usersample,H62Kc.736031,0.71168317714244134
LD.Ptepar_usersample,pleural.T3.S1.536487,0.71173644474552833
LD.Ptepar_usersample,pleural.T7.S1.536577,0.79438642296979067
LD.Ptepar_usersample,H62Dh.735881,0.83381264123583487
LD.Ptepar_usersample,H62Cb.735970,0.84329548185797931
LD.Ptepar_usersample,H60Cb.735932,0.85691725347650061
LD.Ptepar_usersample,Ab.liq.T4.U1.536424,0.85945633873732818
LD.Ptepar_usersample,LD.QCAZ.M50991.710938,0.89653058969610888
LD.Ptepar_usersample,Ab.reswab.T0.S2.536485,0.90034919942123925
LD.Ptepar_usersample,H43Cb.735994,0.90231052767663145
LD.Ptepar_usersample,pleural.T0.reswab.S1.536285,0.90253627201273279
LD.Ptepar_usersample,7352.518512,0.90265666192956617
LD.Ptepar_usersample,H60Kc.735997,0.90563932627495503
LD.Ptepar_usersample,LD.Artlit1.711004,0.90932799681313425
LD.Ptepar_usersample,H59Do.736043,0.91043590588337453
LD.Ptepar_usersample,pleural.T7.S4.536283,0.91057946308798121
LD.Ptepar_usersample,H41Cb.735877,0.91174784239447826
LD.Ptepar_usersample,LD.NBS1072E.710985,0.91656230502492986
LD.Ptepar_usersample,H51Di.735910,0.92077659988559091
LD.Ptepar_usersample,H19Tv.736001,0.92221405301019366
LD.Ptepar_usersample,H34Kc.735939,0.92365528374517347
LD.Ptepar_usersample,pleural.T0.reswab.S2.536288,0.92492914230858714
LD.Ptepar_usersample,H60Do.735986,0.927371582340066
LD.Ptepar_usersample,outsidemouthT1.U5.536389,0.92759823723979329
LD.Ptepar_usersample,H45Do.735878,0.92934637193683844
LD.Ptepar_usersample,belly.reswab.TO.U5.536670,0.93072507751599542
LD.Ptepar_usersample,outsidemouthT4.U1.536532,0.93212206828351829
LD.Ptepar_usersample,Ab.liq.T6.U2.536347,0.93257147906712956
LD.Ptepar_usersample,outsidemouthT4.S3.536664,0.93378979338385315
LD.Ptepar_usersample,Ab.liq.T4.S4.536374,0.9356416088904056
LD.Ptepar_usersample,outsidemouthT6.U4.536651,0.93649926340953993
LD.Ptepar_usersample,outsidemouthT7.U2.536211,0.93677491941730928
LD.Ptepar_usersample,H60Fr.736020,0.94026512687935426
LD.Ptepar_usersample,outsidemouthT6.U2.536486,0.94093505509818021
LD.Ptepar_usersample,E3B08.Bronch1.PreWash.V1V2.481219,0.94146432110894029
LD.Ptepar_usersample,E3B06.BAL.A.V1V2.481262,0.94163626888432916
LD.Ptepar_usersample,outsidemouthT6.U3.536504,0.94280657928066902
LD.Ptepar_usersample,outsidemouthT4.U5.536446,0.94383169817611645
LD.Ptepar_usersample,Ab.liq.T6.U5.536334,0.94454487304243762
LD.Ptepar_usersample,H56Do.735887,0.9450606304194481
LD.Ptepar_usersample,H25Di.735959,0.94527212459441512
LD.Ptepar_usersample,H60Dh.736063,0.94656111457845138
LD.Ptepar_usersample,outsidemouthT6.U5.536490,0.94672820676239799
LD.Ptepar_usersample,H56Tv.736008,0.94837061011924773
LD.Ptepar_usersample,H35Do.736054,0.94903608990059096
