source,target,weight
LD.Ptepar_usersample,LD.DTS1218.710987,0.5
LD.Ptepar_usersample,BD.NBS1086.710943,0.55427460863214018
LD.Ptepar_usersample,LD.NBS1067E.710962,0.62835955274094202
LD.Ptepar_usersample,LD.QCAZ.M50993.710933,0.79076862761132793
LD.Ptepar_usersample,H62Dh.735881,0.83517360768495863
LD.Ptepar_usersample,H59Kc.735886,0.83807587785537574
LD.Ptepar_usersample,H62Cb.735970,0.84811083388997288
LD.Ptepar_usersample,H25Kc.735912,0.8691530526943968
LD.Ptepar_usersample,H18Cb.735992,0.87164440209251737
LD.Ptepar_usersample,LD.QCAZ.M50991.710938,0.89318063013360438
LD.Ptepar_usersample,7352.518512,0.90265666192956617
LD.Ptepar_usersample,H35Fr.735894,0.90404003696813806
LD.Ptepar_usersample,LD.QCAZ.M51309.710974,0.91106479974167154
LD.Ptepar_usersample,H34Kc.735939,0.92099271883394174
LD.Ptepar_usersample,H60Tv.736007,0.92678605927684776
LD.Ptepar_usersample,H60Do.735986,0.92726137229735639
LD.Ptepar_usersample,egg.WY.2009.562.712099.739075,0.92759699639896231
LD.Ptepar_usersample,H35Di.735927,0.92819687665170569
LD.Ptepar_usersample,H60Di.735930,0.93968459992703468
LD.Ptepar_usersample,H22Fr.735949,0.94134088000564642
LD.DTS1218.710987,BD.NBS1086.710943,1.0
LD.DTS1218.710987,LD.NBS1067E.710962,0.5
LD.DTS1218.710987,LD.QCAZ.M50993.710933,0.5
LD.DTS1218.710987,H62Dh.735881,0.5
LD.DTS1218.710987,H59Kc.735886,1.0
LD.DTS1218.710987,H62Cb.735970,1.0
LD.DTS1218.710987,H25Kc.735912,1.0
LD.DTS1218.710987,H18Cb.735992,1.0
LD.DTS1218.710987,LD.QCAZ.M50991.710938,1.0
LD.DTS1218.710987,7352.518512,1.0
LD.DTS1218.710987,H35Fr.735894,1.0
LD.DTS1218.710987,LD.QCAZ.M51309.710974,1.0
LD.DTS1218.710987,H34Kc.735939,1.0
LD.DTS1218.710987,H60Tv.736007,1.0
LD.DTS1218.710987,H60Do.735986,1.0
LD.DTS1218.710987,egg.WY.2009.562.712099.739075,1.0
LD.DTS1218.710987,H35Di.735927,1.0
LD.DTS1218.710987,H60Di.735930,1.0
LD.DTS1218.710987,H22Fr.735949,1.0
BD.NBS1086.710943,LD.NBS1067E.710962,0.27441298294572997
BD.NBS1086.710943,LD.QCAZ.M50993.710933,0.81781737173873492
BD.NBS1086.710943,H62Dh.735881,0.83364888008544147
BD.NBS1086.710943,H59Kc.735886,0.8284377495686247
BD.NBS1086.710943,H62Cb.735970,0.85031472822918008
BD.NBS1086.710943,H25Kc.735912,0.88679370901914645
BD.NBS1086.710943,H18Cb.735992,0.8644920283386659
BD.NBS1086.710943,LD.QCAZ.M50991.710938,0.93948063263241699
BD.NBS1086.710943,7352.518512,0.90265666192956595
BD.NBS1086.710943,H35Fr.735894,0.90794958900506262
BD.NBS1086.710943,LD.QCAZ.M51309.710974,0.91889339416829507
BD.NBS1086.710943,H34Kc.735939,0.92868827415476018
BD.NBS1086.710943,H60Tv.736007,0.94452111324052912
BD.NBS1086.710943,H60Do.735986,0.92412301015074194
BD.NBS1086.710943,egg.WY.2009.562.712099.739075,0.91438870913186521
BD.NBS1086.710943,H35Di.735927,0.92190945744637887
BD.NBS1086.710943,H60Di.735930,0.97260065607558643
BD.NBS1086.710943,H22Fr.735949,0.94409507306235785
LD.NBS1067E.710962,LD.QCAZ.M50993.710933,0.80936936308585639
LD.NBS1067E.710962,H62Dh.735881,0.79790602173213032
LD.NBS1067E.710962,H59Kc.735886,0.82398563282271886
LD.NBS1067E.710962,H62Cb.735970,0.82666887205647566
LD.NBS1067E.710962,H25Kc.735912,0.8825318707322799
LD.NBS1067E.710962,H18Cb.735992,0.86016353779410448
LD.NBS1067E.710962,LD.QCAZ.M50991.710938,0.84402793961189548
LD.NBS1067E.710962,7352.518512,0.90265666192956595
LD.NBS1067E.710962,H35Fr.735894,0.89697270613568136
LD.NBS1067E.710962,LD.QCAZ.M51309.710974,0.92394218053967037
LD.NBS1067E.710962,H34Kc.735939,0.91766349988493989
LD.NBS1067E.710962,H60Tv.736007,0.9317882539847232
LD.NBS1067E.710962,H60Do.735986,0.92057879515142105
LD.NBS1067E.710962,egg.WY.2009.562.712099.739075,0.90930307218067774
LD.NBS1067E.710962,H35Di.735927,0.93327806290718729
LD.NBS1067E.710962,H60Di.735930,0.96529225244382866
LD.NBS1067E.710962,H22Fr.735949,0.92992413679755681
LD.QCAZ.M50993.710933,H62Dh.735881,0.7602369824730989
LD.QCAZ.M50993.710933,H59Kc.735886,0.63344436955776207
LD.QCAZ.M50993.710933,H62Cb.735970,0.80517933123987107
LD.QCAZ.M50993.710933,H25Kc.735912,0.83001021284857857
LD.QCAZ.M50993.710933,H18Cb.735992,0.65711774652790089
LD.QCAZ.M50993.710933,LD.QCAZ.M50991.710938,0.50018827315413228
LD.QCAZ.M50993.710933,7352.518512,0.90265666192956617
LD.QCAZ.M50993.710933,H35Fr.735894,0.77476194748903093
LD.QCAZ.M50993.710933,LD.QCAZ.M51309.710974,0.56798617478560365
LD.QCAZ.M50993.710933,H34Kc.735939,0.88085843523533702
LD.QCAZ.M50993.710933,H60Tv.736007,0.82362680114501852
LD.QCAZ.M50993.710933,H60Do.735986,0.91426533417606537
LD.QCAZ.M50993.710933,egg.WY.2009.562.712099.739075,0.85481849674816601
LD.QCAZ.M50993.710933,H35Di.735927,0.90991881681589326
LD.QCAZ.M50993.710933,H60Di.735930,0.88095472603409297
LD.QCAZ.M50993.710933,H22Fr.735949,0.71943595405316274
H62Dh.735881,H59Kc.735886,0.76618803086099718
H62Dh.735881,H62Cb.735970,0.49230443635622456
H62Dh.735881,H25Kc.735912,0.69599332438397032
H62Dh.735881,H18Cb.735992,0.81033438006786618
H62Dh.735881,LD.QCAZ.M50991.710938,0.8546103072716088
